,Key,ds,y
233,Others,2023-09-01,0.00023414816896131873
234,Others,2023-09-08,0.00018714909544603867
235,Others,2023-09-15,0.0
236,Others,2023-09-22,0.0002112557039040054
237,Others,2023-09-29,0.0001847148464557839
238,Others,2023-10-06,0.0
239,Others,2023-10-13,0.00013412017167381974
240,Others,2023-10-20,0.0
241,Others,2023-10-27,0.0002655689815429558
242,Others,2023-11-03,0.000237034227742486
243,Others,2023-11-10,0.00013954137401739615
244,Others,2023-11-17,0.00034281796366129587
245,Others,2023-11-24,0.00018541409147095178
246,Others,2023-12-01,0.00018677624206200972
247,Others,2023-12-08,9.090495886550612e-05
248,Others,2023-12-15,0.000185649308456326
249,Others,2023-12-22,0.0006986899563318777
250,Others,2023-12-29,0.00043589264586836043
251,Others,2024-01-05,0.00019276489108783657
252,Others,2024-01-12,9.131169246221979e-05
253,Others,2024-01-19,0.0008790526914525052
254,Others,2024-01-26,0.0004250386398763524
255,Others,2024-02-02,0.00042143979157886676
256,Others,2023-01-06,0.013778342585780215
257,Others,2023-01-13,0.009891995558695871
258,Others,2023-01-20,0.00995874235310855
259,Others,2023-01-27,0.010998603351955308
260,Others,2023-02-03,0.012868332711674748
261,Others,2023-02-10,0.011243386243386243
262,Others,2023-02-17,0.011750578951882666
263,Others,2023-02-24,0.012050359712230216
264,Others,2023-03-03,0.007074064604108071
265,Others,2023-03-10,0.008204591079689273
266,Others,2023-03-17,0.006078506913231454
267,Others,2023-03-24,0.011690376928697297
268,Others,2023-03-31,0.009500991407799074
269,Others,2023-04-07,0.009115535107709507
270,Others,2023-04-14,0.007703755580845661
271,Others,2023-04-21,0.008305150049231559
272,Others,2023-04-28,0.009786360260387086
273,Others,2023-05-05,0.013975363941769316
274,Others,2023-05-12,0.011977584805578135
275,Others,2023-05-19,0.008006887645286268
276,Others,2023-05-26,0.010058162417457472
277,Others,2023-06-02,0.012303871768822664
278,Others,2023-06-09,0.00967160504681936
279,Others,2023-06-16,0.013948736173426325
280,Others,2023-06-23,0.009706871696299855
281,Others,2023-06-30,0.01046411979613008
282,Others,2023-07-07,0.008632743631831722
283,Others,2023-07-14,0.013394185931143963
284,Others,2023-07-21,0.011980566954388944
285,Others,2023-07-28,0.0092824654228163
286,Others,2023-08-04,0.012621967594664756
287,Others,2023-08-11,0.01092795812479912
288,Others,2023-08-18,0.011279064392363519
289,Others,2023-08-25,0.013989129466274614
290,Others,2023-09-01,0.010864475039805189
291,Others,2023-09-08,0.014223331253898939
292,Others,2023-09-15,0.005777062221801307
293,Others,2023-09-22,0.0073516984958593885
294,Others,2023-09-29,0.013484183791272223
295,Others,2023-10-06,0.010962027536613173
296,Others,2023-10-13,0.010014306151645207
297,Others,2023-10-20,0.012053106167021614
298,Others,2023-10-27,0.010534236267870579
299,Others,2023-11-03,0.007774722669953541
300,Others,2023-11-10,0.010698172008000374
301,Others,2023-11-17,0.010541652382584848
302,Others,2023-11-24,0.011742892459826949
303,Others,2023-12-01,0.008965259618976467
304,Others,2023-12-08,0.00981773555747466
305,Others,2023-12-15,0.01206720504966119
306,Others,2023-12-22,0.010218340611353712
307,Others,2023-12-29,0.015567594495298587
308,Others,2024-01-05,0.01259397288440532
309,Others,2024-01-12,0.012327078482399672
310,Others,2024-01-19,0.012306737680335073
311,Others,2024-01-26,0.01151468315301391
312,Others,2024-02-02,0.01057430749779702
313,NBRX_Brand15,2023-01-06,0.04869239515751455
314,NBRX_Brand15,2023-01-13,0.043908347632986774
315,NBRX_Brand15,2023-01-20,0.04912979560866884
316,NBRX_Brand15,2023-01-27,0.048315293296089384
317,NBRX_Brand15,2023-02-03,0.04998135024244685
318,NBRX_Brand15,2023-02-10,0.04799107142857143
319,NBRX_Brand15,2023-02-17,0.05034737112959945
320,NBRX_Brand15,2023-02-24,0.04941546762589928
321,NBRX_Brand15,2023-03-03,0.05024290462797239
322,NBRX_Brand15,2023-03-10,0.04460155363533211
323,NBRX_Brand15,2023-03-17,0.04584564016951329
